Ticker,Nombre,Sector,Industria,País,Ciudad,Descripción,Logo URL,Market Cap,P/E Ratio,Dividend Yield,Ingresos,Ingresos Netos,Beta
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,Cupertino,Descripción no disponible.,https://logo.clearbit.com/apple.com,2963561250816,30.858477,0.52,400366010368.0,97294000128.0,1.211
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,United States,North Chicago,"AbbVie Inc. is an American pharmaceutical company headquartered in North Chicago, Illinois. It is ranked sixth on the list of largest biomedical companies by revenue. In 2023, the company's seat in Forbes Global 2000 was 74, and rank 89 on the 2024 list. The company's primary product is Humira (adalimumab) ($14 billion in 2023 revenues, 27 percent of total), administered via injection.",https://logo.clearbit.com/abbvie.com,337524457472,81.217026,3.44,57366999040.0,4155000064.0,0.491
ADBE,Adobe Inc.,Technology,Software - Application,United States,San Jose,"Adobe Inc. (  ə-DOH-bee), formerly Adobe Systems Incorporated, is an American computer software company based in San Jose, California. It offers a wide range of programs from web design tools, photo manipulation and vector creation, through to video/audio editing, mobile app development, print layout and animation software.
It has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia/video, motion pictures, and print. Its flagship products include Adobe Photoshop image editing software; Adobe Illustrator vector-based illustration software; Adobe Acrobat Reader and the Portable Document Format (PDF); and a host of tools primarily for audio-visual content creation, editing and publishing.",https://logo.clearbit.com/adobe.com,171217338368,25.061134,,22601000960.0,6869000192.0,1.545
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,United States,Columbus,"American Electric Power Company, Inc. (AEP), (railcar reporting mark: AEPX) is an American domestic electric utility company in the United States. It is one of the largest electric utility companies in the country, with more than five million customers in 11 states.
American Electric Power Company is one of the nation's largest generators of electricity, owning nearly 38,000 megawatts of generating capacity in the U.S. AEP also owns the nation's largest electricity transmission system, a nearly 39,000-mile (63,000 km) network that includes 765 kilovolt ultra-high voltage transmission lines, more than all other U.S. transmission systems combined. AEP's transmission system directly or indirectly provides about 10 percent of the electricity demand in the Eastern Interconnection, the interconnected transmission system that covers 38 eastern and central U.S. states and eastern Canada, and approximately 11 percent of the electricity demand in the Electric Reliability Council of Texas, the transmission system that covers much of Texas.",https://logo.clearbit.com/aep.com,54968627200,19.865498,3.62,20159000576.0,2764199936.0,0.41
AMT,American Tower Corporation,Desconocido,Desconocida,,,"American Tower Corporation (also referred to as American Tower or ATC) is an American real estate investment trust which owns, develops and operates wireless and broadcast communications infrastructure in several countries. It is headquartered in Boston, Massachusetts.
As of December 31, 2024, the company owns 148,957 communications sites, including 42,222 sites in the U.S. and Canada, 26,642 sites in Asia-Pacific and Africa, 31,786 sites in Europe, and 48,307 sites in Latin America.


== History ==
The company was formed in 1995 as a unit of American Radio Systems. In 1998, American Radio Systems merged with CBS Corporation and spun off of American Tower.",,100640301056,34.73021,3.17,,,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,United States,Seattle,"Amazon.com, Inc., doing business as Amazon, is an American multinational technology company engaged in e-commerce, cloud computing, online advertising, digital streaming, and artificial intelligence. Founded in 1994 by Jeff Bezos in Bellevue, Washington, the company originally started as an online marketplace for books but gradually expanded its offerings to include a wide range of product categories, referred to as ""The Everything Store"". Today, Amazon is considered one of the Big Five American technology companies, the other four being Alphabet, Apple, Meta, and Microsoft.
The company has multiple subsidiaries, including Amazon Web Services, providing cloud computing; Zoox, a self-driving car division; Kuiper Systems, a satellite Internet provider; and Amazon Lab126, a computer hardware R&D provider. Other subsidiaries include Ring, Twitch, IMDb, and Whole Foods Market.",https://logo.clearbit.com/aboutamazon.com,2294204071936,35.195442,,650313007104.0,65943998464.0,1.334
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,United States,Allentown,"Air Products and Chemicals, Inc. is a U.S.-based international corporation whose principal business is selling gases and chemicals for industrial use. Air Products is headquartered in Trexlertown, Pennsylvania, in the Lehigh Valley region of eastern Pennsylvania.
As of 2024, Air Products is the fifth-largest employer in the Lehigh Valley.


== History ==


=== 20th century ===

Air Products was founded in Detroit in 1940 by Leonard Parker Pool with the objective of establishing on-site production and sales of various forms of industrial gas.",https://logo.clearbit.com/airproducts.com,62408011776,40.34964,2.55,12020700160.0,1547200000.0,0.873
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,Palo Alto,"Broadcom Inc. is an American multinational designer, developer, manufacturer, and global supplier of a wide range of semiconductor and infrastructure software products. Broadcom's product offerings serve the data center, networking, software, broadband, wireless, storage, and industrial markets. As of 2024, some 58 percent of Broadcom's revenue came from its semiconductor-based products and 42 percent from its infrastructure software products and services.: 43 
Tan Hock Eng is the company's president and CEO. The company is headquartered in Palo Alto, California. Avago Technologies Limited was changing its name to Broadcom to  acquire Broadcom Corporation in January 2016.",https://logo.clearbit.com/broadcom.com,1185744814080,91.01083,0.95,57045999616.0,13240999936.0,1.122
AXP,American Express Company,Financial Services,Credit Services,United States,New York,"American Express Company or Amex is an American bank holding company and multinational financial services corporation that specializes in payment cards. It is headquartered at 200 Vesey Street, also known as American Express Tower, in the Battery Park City neighborhood of Lower Manhattan. 
Amex is the fourth-largest card network globally based on purchase volume, behind China UnionPay, Visa, and Mastercard. 141.2 million Amex cards were in force worldwide as of December 31, 2023, with an average annual spend per card member of US$24,059. That year, Amex handled over $1.7 trillion in purchase volume on its network.",https://logo.clearbit.com/americanexpress.com,206127300608,20.531752,1.11,62049001472.0,10142000128.0,1.254
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,United States,Charlotte,"The Bank of America Corporation (Bank of America) (often abbreviated BofA or BoA) is an American multinational investment bank and financial services holding company headquartered at the Bank of America Corporate Center in Charlotte, North Carolina, with investment banking and auxiliary headquarters in Manhattan. The bank was founded by the merger of NationsBank and Bank of America in 1998. It is the second-largest banking institution in the United States and the second-largest bank in the world by market capitalization, both after JPMorgan Chase. Bank of America is one of the Big Four banking institutions of the United States. and one of eight systemically important financial institutions in the US. It serves about 10 percent of all American bank deposits, in direct competition with JPMorgan Chase, Citigroup, and Wells Fargo.",https://logo.clearbit.com/bankofamerica.com,334490796032,13.256717,2.34,97452998656.0,26350999552.0,1.307
